Date,Time,BhutanGold,BhutanDeluxe
09/08/2023,9:00 AM,73,1
09/08/2023,9:15 AM,24,2
09/08/2023,9:30 AM,74,71
09/08/2023,9:45 AM,54,4
09/08/2023,10:00 AM,60,33
09/08/2023,10:15 AM,5,98
09/08/2023,10:30 AM,93,91
09/08/2023,10:45 AM,65,43
09/08/2023,11:00 AM,57,76
09/08/2023,11:15 AM,39,13
09/08/2023,11:30 AM,13,10
09/08/2023,11:45 AM,43,70
09/08/2023,12:00 PM,20,78
09/08/2023,12:15 PM,10,8
09/08/2023,12:30 PM,48,23
09/08/2023,12:45 PM,23,59
09/08/2023,1:00 PM,57,17
09/08/2023,1:15 PM,68,59
09/08/2023,1:30 PM,9,98
09/08/2023,1:45 PM,52,14
09/08/2023,2:00 PM,40,47
09/08/2023,2:15 PM,49,21
09/08/2023,2:30 PM,59,74
09/08/2023,2:45 PM,53,76
09/08/2023,3:00 PM,69,10
09/08/2023,3:15 PM,24,33
09/08/2023,3:30 PM,52,72
09/08/2023,3:45 PM,1,73
09/08/2023,4:00 PM,12,7
09/08/2023,4:15 PM,29,93
09/08/2023,4:30 PM,27,36
09/08/2023,4:45 PM,16,44
09/08/2023,5:00 PM,69,8
09/08/2023,5:15 PM,40,26
09/08/2023,5:30 PM,1,74
09/08/2023,5:45 PM,24,65
09/08/2023,6:00 PM,85,75
09/08/2023,6:15 PM,28,58
09/08/2023,6:30 PM,59,85
09/08/2023,6:45 PM,41,99
09/08/2023,7:00 PM,31,83
09/08/2023,7:15 PM,22,27
09/08/2023,7:30 PM,17,97
09/08/2023,7:45 PM,24,60
09/08/2023,8:00 PM,18,5
09/08/2023,8:15 PM,37,43
09/08/2023,8:30 PM,14,43
09/08/2023,8:45 PM,13,57
09/08/2023,9:00 PM,73,61
10/08/2023,9:00 AM,10,4
10/08/2023,9:15 AM,26,4
10/08/2023,9:30 AM,57,9
10/08/2023,9:45 AM,97,20
10/08/2023,10:00 AM,93,29
10/08/2023,10:15 AM,96,84
10/08/2023,10:30 AM,25,0
10/08/2023,10:45 AM,20,83
10/08/2023,11:00 AM,97,6
10/08/2023,11:15 AM,91,59
10/08/2023,11:30 AM,13,59
10/08/2023,11:45 AM,11,13
10/08/2023,12:00 PM,84,49
10/08/2023,12:15 PM,44,23
10/08/2023,12:30 PM,81,62
10/08/2023,12:45 PM,43,30
10/08/2023,1:00 PM,97,3
10/08/2023,1:15 PM,77,94
10/08/2023,1:30 PM,86,38
10/08/2023,1:45 PM,61,69
10/08/2023,2:00 PM,92,14
10/08/2023,2:15 PM,66,45
10/08/2023,2:30 PM,27,32
10/08/2023,2:45 PM,65,67
10/08/2023,3:00 PM,34,43
10/08/2023,3:15 PM,71,78
10/08/2023,3:30 PM,24,70
10/08/2023,3:45 PM,1,7
10/08/2023,4:00 PM,0,13
10/08/2023,4:15 PM,16,93
10/08/2023,4:30 PM,91,6
10/08/2023,4:45 PM,15,76
10/08/2023,5:00 PM,5,53
10/08/2023,5:15 PM,61,84
10/08/2023,5:30 PM,76,73
10/08/2023,5:45 PM,88,47
10/08/2023,6:00 PM,10,53
10/08/2023,6:15 PM,94,79
10/08/2023,6:30 PM,44,97
10/08/2023,6:45 PM,55,47
10/08/2023,7:00 PM,99,82
10/08/2023,7:15 PM,16,43
10/08/2023,7:30 PM,87,88
10/08/2023,7:45 PM,7,88
10/08/2023,8:00 PM,94,64
10/08/2023,8:15 PM,9,14
10/08/2023,8:30 PM,49,35
10/08/2023,8:45 PM,53,13
10/08/2023,9:00 PM,29,44
11/08/2023,9:00 AM,66,65
11/08/2023,9:15 AM,75,21
11/08/2023,9:30 AM,53,17
11/08/2023,9:45 AM,6,80
11/08/2023,10:00 AM,69,6
11/08/2023,10:15 AM,17,54
11/08/2023,10:30 AM,99,16
11/08/2023,10:45 AM,59,44
11/08/2023,11:00 AM,28,90
11/08/2023,11:15 AM,21,13
11/08/2023,11:30 AM,82,80
11/08/2023,11:45 AM,93,33
11/08/2023,12:00 PM,98,91
11/08/2023,12:15 PM,92,19
11/08/2023,12:30 PM,67,36
11/08/2023,12:45 PM,66,30
11/08/2023,1:00 PM,15,48
11/08/2023,1:15 PM,16,43
11/08/2023,1:30 PM,14,73
11/08/2023,1:45 PM,83,68
11/08/2023,2:00 PM,36,61
11/08/2023,2:15 PM,0,90
11/08/2023,2:30 PM,67,60
11/08/2023,2:45 PM,67,49
11/08/2023,3:00 PM,3,74
11/08/2023,3:15 PM,16,61
11/08/2023,3:30 PM,82,67
11/08/2023,3:45 PM,96,1
11/08/2023,4:00 PM,29,72
11/08/2023,4:15 PM,86,9
11/08/2023,4:30 PM,12,79
11/08/2023,4:45 PM,13,95
11/08/2023,5:00 PM,57,68
11/08/2023,5:15 PM,15,23
11/08/2023,5:30 PM,52,27
11/08/2023,5:45 PM,68,98
11/08/2023,6:00 PM,6,0
11/08/2023,6:15 PM,96,14
11/08/2023,6:30 PM,4,45
11/08/2023,6:45 PM,70,14
11/08/2023,7:00 PM,39,27
11/08/2023,7:15 PM,23,41
11/08/2023,7:30 PM,70,91
11/08/2023,7:45 PM,46,79
11/08/2023,8:00 PM,47,94
11/08/2023,8:15 PM,62,20
11/08/2023,8:30 PM,30,53
11/08/2023,8:45 PM,11,6
11/08/2023,9:00 PM,36,37
12/08/2023,9:00 AM,37,41
12/08/2023,9:15 AM,68,81
12/08/2023,9:30 AM,2,24
12/08/2023,9:45 AM,57,35
12/08/2023,10:00 AM,63,99
12/08/2023,10:15 AM,76,68
12/08/2023,10:30 AM,44,16
12/08/2023,10:45 AM,80,64
12/08/2023,11:00 AM,40,3
12/08/2023,11:15 AM,79,76
12/08/2023,11:30 AM,82,77
12/08/2023,11:45 AM,80,79
12/08/2023,12:00 PM,77,13
12/08/2023,12:15 PM,72,57
12/08/2023,12:30 PM,31,73
12/08/2023,12:45 PM,31,52
12/08/2023,1:00 PM,59,4
12/08/2023,1:15 PM,19,98
12/08/2023,1:30 PM,8,70
12/08/2023,1:45 PM,85,51
12/08/2023,2:00 PM,10,16
12/08/2023,2:15 PM,19,40
12/08/2023,2:30 PM,19,47
12/08/2023,2:45 PM,73,13
12/08/2023,3:00 PM,56,27
12/08/2023,3:15 PM,92,85
12/08/2023,3:30 PM,14,8
12/08/2023,3:45 PM,79,67
12/08/2023,4:00 PM,67,62
12/08/2023,4:15 PM,55,72
12/08/2023,4:30 PM,95,8
12/08/2023,4:45 PM,78,63
12/08/2023,5:00 PM,46,90
12/08/2023,5:15 PM,99,18
12/08/2023,5:30 PM,62,3
12/08/2023,5:45 PM,13,0
12/08/2023,6:00 PM,99,17
12/08/2023,6:15 PM,16,42
12/08/2023,6:30 PM,76,70
12/08/2023,6:45 PM,56,9
12/08/2023,7:00 PM,40,48
12/08/2023,7:15 PM,56,60
12/08/2023,7:30 PM,37,51
12/08/2023,7:45 PM,68,95
12/08/2023,8:00 PM,39,57
12/08/2023,8:15 PM,86,53
12/08/2023,8:30 PM,0,41
12/08/2023,8:45 PM,11,76
12/08/2023,9:00 PM,25,29
13/08/2023,9:00 AM,10,21
13/08/2023,9:15 AM,42,64
13/08/2023,9:30 AM,14,55
13/08/2023,9:45 AM,6,3
13/08/2023,10:00 AM,10,14
13/08/2023,10:15 AM,96,39
13/08/2023,10:30 AM,82,8
13/08/2023,10:45 AM,66,43
13/08/2023,11:00 AM,65,0
13/08/2023,11:15 AM,82,44
13/08/2023,11:30 AM,45,17
13/08/2023,11:45 AM,24,92
13/08/2023,12:00 PM,7,3
13/08/2023,12:15 PM,52,67
13/08/2023,12:30 PM,97,2
13/08/2023,12:45 PM,63,4
13/08/2023,1:00 PM,2,0
13/08/2023,1:15 PM,7,47
13/08/2023,1:30 PM,16,35
13/08/2023,1:45 PM,51,70
